title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
Preliminary results of the France LEADLESS study. A safety and effectiveness monitoring of a new ventricular leadless pacemaker,10.1093/europace/euaf085.575,2025,substitutes,"The abstract explicitly states that leadless pacemakers (LP) have been developed to substitute transvenous pacemakers (TVP) and may improve patient safety by reducing lead- and pocket-related complications and infection risk. It highlights that LP is chosen over TVP particularly in patients with high infectious risk, indicating a safety advantage as an alternative to the conventional TVP.",leadless pacemakers,"pericardial effusion, device dislodgement, fistula at femoral access"
"8-(3-phenylpropyl)-1,3,7-triethylxanthine is a synthetic caffeine substitute with stronger metabolic modulator activity.",10.1016/j.tiv.2018.08.002,2018,substitutes,"The abstract explicitly states that PTX is a 'stronger and less cytotoxic caffeine substitute' and highlights that PTX displayed no signs of cytotoxicity at all studied concentrations, implying a safety advantage over caffeine as a substitute.","8-(3-phenylpropyl)-1,3,7-triethylxanthine (PTX)",
Solution-Processed Thickness-Insensitive Molybdenum Oxide Hole-Transporting Layer Regulated by Reductive Ionic Liquid for Stable and Efficient Organic Solar Cells.,10.1002/smll.202410917,2024,substitutes,"The abstract explicitly states that the 5% IL:MoOx hole-transporting layer exhibits superior stability compared to PEDOT:PSS devices and highlights its potential as a substitute for PEDOT:PSS in scaling organic solar cell production. This indicates a safety advantage in terms of device stability, which can be reasonably interpreted as a safer alternative to the conventional PEDOT:PSS substitute.",5% ionic liquid (IL): molybdenum oxide (MoOx) hole-transporting layer,
Perioperative Bridging With Glycoprotein IIb/IIIa Inhibitors Versus Cangrelor: Balancing Efficacy and Safety,10.1177/1060028018824640,2019,substitutes,"The abstract explicitly states that eptifibatide, tirofiban, and cangrelor are preferred over abciximab as perioperative bridging agents, indicating a safety advantage since abciximab is associated with delayed platelet recovery and increased postoperative bleeding risk. This comparison clearly presents these agents as safer alternatives to the substitute abciximab.",eptifibatide; tirofiban; cangrelor,"increased postoperative bleeding risk after abciximab discontinuation, risk of postoperative bleeding due to decreased clearance of eptifibatide or tirofiban in patients with renal insufficiency"
EFFECTS OF PREBIOTICS ON METABOLIC ACTIVITY IN BROILERS,10.54112/bcsrj.v2024i1.1075,2024,substitutes,"The abstract explicitly states that mannan-oligosaccharides (MOS) are being studied as a natural substitution and alternative to antibiotic growth promoters in broiler diets, implying a safer alternative due to the known concerns with antibiotics. It highlights benefits in growth performance and gut health, suggesting MOS as a safer alternative to antibiotics, which are the substitutes in this context.",mannan-oligosaccharides (MOS),
A study on the influence of utilizing hydrogen at fuelling spark ignition engines,10.1088/1757-899X/1311/1/012002,2024,substitutes,"The abstract discusses hydrogen as an alternative fuel to gasoline in spark ignition engines, highlighting its very low pollutant emissions and significant emission reductions when used with gasoline. It explicitly presents hydrogen as an alternative fuel with better combustion properties and lower emissions compared to gasoline, which can be interpreted as a safer alternative to conventional gasoline fuel substitutes.",hydrogen,
The Incidence of Heparin Induced Thrombocytopenia before and after the Implementation of the Venous Thromboembolism Thromboprophylaxis Protocols within Eastern Health,10.1182/blood-2019-129340,2019,substitutes,"The abstract explicitly states that low-molecular-weight heparin (LMWH) was used as a substitute for unfractionated heparin (UFH) and that this substitution led to a significant reduction in the incidence of heparin-induced thrombocytopenia (HIT) and heparin-induced thrombocytopenia with thrombosis (HITT). This indicates that LMWH is a safer alternative to UFH, which is a substitute in this context.",low-molecular-weight heparin (LMWH),"heparin-induced thrombocytopenia (HIT), heparin-induced thrombocytopenia with thrombosis (HITT), pulmonary embolism, cerebrovascular accident, deep vein thrombosis (DVT), ischemic bowel, arterial thrombosis, venous thrombosis, cardiac thrombus, splenic infarct, death"
Newest And Most Promising Type 1 Diabetes Treatment.,10.47391/jpma.9916,2023,substitutes,"The abstract explicitly states that the artificial pancreas shows promising results with milder side effects compared to other treatments, indicating a safety advantage. It presents the MiniMed 780G artificial pancreas as a modern system that improves glycemic control and reduces side effects such as severe infections or nephrotoxicity associated with immunosuppression in transplantation. Thus, it clearly indicates a safer alternative to conventional substitutes like insulin injections and transplantation.",MiniMed 780G artificial pancreas,"severe infections, nephrotoxicity, side effects due to cytokine storm, B-cell dysfunction, localized skin infection"
"Effects of Br Substitution on Inorganic Rudorffite AgBiI4 for Stable, Pb‐Free Solar Cells",10.1002/slct.202400337,2024,substitutes,"The abstract presents AgBi(I1−xBrx)4 as a Pb-free absorber for solar cells, addressing the toxicity issue of Pb-based perovskites. It highlights improved stability and environmental benignity, implying a safer alternative to conventional Pb-based substitutes.",AgBi(I1−xBrx)4,
"Short-term experiments in using digestate products as substitutes for mineral (N) fertilizer: Agronomic performance, odours, and ammonia emission impacts.",10.1016/j.scitotenv.2015.12.156,2016,substitutes,The abstract presents digestate and its derived products as substitutes for mineral N fertilizers (urea) and highlights safety advantages such as greatly reduced odour impact (82–88% less than untreated biomass) and significantly lower ammonia emissions (69%–77% reduction with sub-surface injection). These reductions in environmental nuisances and emissions indicate a safer alternative to conventional mineral fertilizers.,digestate; digestate-derived products,"odours causing annoyance for the public, nitrate leaching, ammonia emissions into the air"
COMPOSITE COMPOSITIONS BASED ON FUSIBLE ALLOYS AND METAL POWDERS,10.37614/2949-1215.2023.14.2.030,2023,substitutes,"The abstract states that mercury (Hg) and amalgams are prohibited and proposes liquid alloys based on non-toxic gallium (Ga) as a good substitute. It highlights the non-toxic nature of Ga alloys, implying a safety advantage over Hg-based materials, thus presenting a safer alternative to the prohibited substitutes.",gallium (Ga) alloys,
Preparation of internally‐plasticized poly(vinyl chloride) by grafting hyperbranched cardanol epoxy polyglycerol,10.1002/app.56338,2024,substitutes,"The abstract presents a novel epoxy plasticizer (HCEP) grafted onto PVC that avoids leaching during use, which is described as a viable solution for reducing reliance on phthalate-based plasticizers. This implies a safety advantage over conventional phthalate substitutes by reducing plasticizer leaching, a known safety concern.",epoxy plasticizer (HCEP),
Experimental study of matrix permeability of gas shale: An application to CO2-based shale fracturing,10.3390/EN11040702,2018,substitutes,"The abstract explicitly states that liquid CO2 is regarded as a promising substitute for water-based fracturing fluids due to its greater environmental friendliness and shorter clean-up time, indicating safety advantages. It also mentions the necessity to substitute water-based fracturing fluids with liquid or super-critical CO2, implying that CO2 is a safer alternative to the conventional water-based fluids.",liquid carbon dioxide (liquid CO2); super-critical carbon dioxide (super-critical CO2),
Spent Coffee Grounds Characterization and Reuse in Composting and Soil Amendment,10.3390/waste1010002,2022,substitutes,"The abstract states that spent coffee grounds (SCGs) can substitute conventional fertilizers and enhance plant growth and nutritional values without impacting the environment. This implies SCGs are a safer alternative to conventional fertilizers, which are the substitutes in this context.",spent coffee grounds,
Utilization of Nicotiana tobacum’s extract for mosquito extermination with fogging method,10.1063/1.5139360,2019,substitutes,"The abstract explicitly states that the new fogging formulation aims to be free from pyrethroid and petroleum, making fumigation safer for users compared to conventional chemical-based fogging methods. It highlights the substitution of tobacco leaf extract with propylene glycol and glycerin as a smoke-making agent to reduce side effects and resistance issues associated with typical insecticides, indicating a safer alternative to existing substitutes.",propylene glycol; glycerin,"mosquito resistance caused by insecticide active compounds, side effects on the human body from insecticide use"
Construction of emissive ruthenium(II) metallacycle over 1000 nm wavelength for in vivo biomedical applications,10.1038/s41467-022-29572-2,2022,substitutes,The abstract states that Ru(II)-based agents are promising candidates for substituting Pt-drugs and highlights Ru1085's minimal side effects compared to typical platinum drugs. This indicates a safety advantage of Ru1085 as an alternative to platinum-based substitutes.,ruthenium(II) (Ru(II))-based agents; Ru1085,
"Sugar Substitute Stevia Inhibits Biofilm Formation, Exopolysaccharide Production, and Downregulates the Expression of Streptococcal Genes Involved in Exopolysaccharide Synthesis",10.3390/dj11120267,2023,substitutes,"The abstract compares stevia directly to sucrose, a common sugar substitute, and shows that stevia inhibits biofilm formation and EPS production more effectively. It implies stevia as a substitute to sucrose with potential therapeutic benefits in dental health, which can be reasonably interpreted as a safer alternative due to reduced cariogenic effects.",stevia,
