"ID","PMNNO","ACCNO","UID","EXP","GenericName","FLAG","ACTIVITY"
1522,"P030754",230332,,,"Telechelic polyacrylates (PROVISIONAL)","PMN; XU","ACTIVE"
1523,"P030762",274727,,,"Modified polyisocyanate","PMN; S","INACTIVE"
1524,"P030763",245966,,,"Modified polyisocyanate","PMN; S","INACTIVE"
1525,"P030765",264041,,,"Phenol, 4,4'-(1-methylethylidene)bis-, polymer with (chloromethyl)oxirane, reaction products with cycloaliphatic amine (PROVISIONAL)","PMN; XU","ACTIVE"
1526,"P030766",257013,,,"Alkoxysilyldiesteramine (PROVISIONAL)","PMN","ACTIVE"
1527,"P030767",250261,,,"Aromatic isocyanate methacrylate blocked (PROVISIONAL)","PMN; S","ACTIVE"
1528,"P030769",189469,,,"Acrylate copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1529,"P030772",230387,,,"Phosphated polyalkoxylate (PROVISIONAL)","PMN; XU","ACTIVE"
1530,"P030789",261166,,,"Alkene, diaromatic alkoxy ketone ester (PROVISIONAL)","PMN","ACTIVE"
1531,"P030791",262067,,,"Ethylene interpolymer (PROVISIONAL)","PMN; XU","INACTIVE"
1532,"P030803",234629,,,"Aliphatic phosphate diacrylate (PROVISIONAL)","PMN; XU","INACTIVE"
1533,"P030807",197070,,,"Amino phenolic reaction product with polyvinylphenol (PROVISIONAL)","PMN; XU","INACTIVE"
1534,"P030813",234992,,,"Polymeric modified vegetable oil (PROVISIONAL)","PMN; XU","INACTIVE"
1535,"P030815",244123,,,"Sulfurized vegetable oil (PROVISIONAL)","PMN","ACTIVE"
1536,"P030816",248761,,,"Sulfurized vegetable oil (PROVISIONAL)","PMN","ACTIVE"
1537,"P030817",260550,,,"Sulfurized vegetable oil (PROVISIONAL)","PMN","ACTIVE"
1538,"P030818",271773,,,"Sulfurized vegetable oil (PROVISIONAL)","PMN","ACTIVE"
1539,"P030819",266763,,,"Sulfurized fat (PROVISIONAL)","PMN","ACTIVE"
1540,"P030820",243539,,,"Sulfurized vegetable oil (PROVISIONAL)","PMN","ACTIVE"
1541,"P030823",264461,,,"Polybutadiene prepolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1542,"P030829",231493,,,"Telechelic polyacrylates (PROVISIONAL)","PMN; XU","ACTIVE"
1543,"P030831",236932,,,"Tertiary amine carboxylic acid compound (PROVISIONAL)","PMN","ACTIVE"
1544,"P030833",248658,,,"Di-substituted stilbene disulfonic acid salt (PROVISIONAL)","PMN","INACTIVE"
1545,"P030834",274409,,,"Salt of a disubstitute phenylenediamine (PROVISIONAL)","PMN","ACTIVE"
1546,"P030836",249446,,,"Unsaturated oils, polymer with aromatic carboxylic acid, alkyl methacrylates, hydroxy substituted alkane, tetra hydroxy alkane, carboxylic acid anhydride, alkenylbenzene and alkane alkenylbenzene (PROVISIONAL)","PMN; XU","INACTIVE"
1547,"P030838",241566,,,"Benzothiadiazine derivative (PROVISIONAL)","PMN","INACTIVE"
1548,"P030846",277044,,,"Mono-halo-substituted alkyne (PROVISIONAL)","PMN","ACTIVE"
1549,"P030847",251195,,,"14-Carbon keto alkyne (PROVISIONAL)","PMN","ACTIVE"
1550,"P030848",237979,,,"Mono-halo-substituted alkyne (PROVISIONAL)","PMN","ACTIVE"
1551,"P030857",238472,,,"Mixed carboxylic acid esters (PROVISIONAL)","PMN","INACTIVE"
1552,"P030858",250998,,,"Mixed carboxylic acid esters (PROVISIONAL)","PMN","INACTIVE"
1553,"P040007",270509,,,"Modified saponified tall oil distillates (PROVISIONAL)","PMN","ACTIVE"
1554,"P040008",264132,,,"Phenol, 4,4'-(1-methylethylidene)bis-, polymer with (chloromethyl)oxirane, reaction products with an epoxide and triethylenetetramine (PROVISIONAL)","PMN; XU","ACTIVE"
1555,"P040013",249093,,,"Aromatic-aliphatic polyamides (PROVISIONAL)","PMN; XU","INACTIVE"
1556,"P040025",258301,,,"Aminated styrenate acrylic salt (PROVISIONAL)","PMN; XU","INACTIVE"
1557,"P040029",205266,,,"Cyclic diamine bisamide with monocarboxylic fatty acid (PROVISIONAL)","PMN","INACTIVE"
1558,"P040034",266434,"UID-2023-00091","20280210","Lithium grease thickener (PROVISIONAL)","PMN","ACTIVE"
1559,"P040035",258083,,,"Cross-linked aminopolyamide resin (PROVISIONAL)","PMN; XU","INACTIVE"
1560,"P040037",237593,,,"Isocyanante terminated urethane polymer (PROVISIONAL)","PMN; XU","ACTIVE"
1561,"P040038",254150,,,"Acrylic polymer (PROVISIONAL)","PMN; XU","ACTIVE"
1562,"P040041",262045,,,"Polymeric amine (PROVISIONAL)","PMN; XU","INACTIVE"
1563,"P040043",252712,,,"Epoxy amine adduct (PROVISIONAL)","PMN; XU","ACTIVE"
1564,"P040045",235600,,,"Epoxy acrylic copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1565,"P040050",256190,,,"Polyurethane (PROVISIONAL)","PMN; XU","INACTIVE"
1566,"P040055",235939,,,"Multifunctional acrylate oligomer resin (PROVISIONAL)","PMN; XU","INACTIVE"
1567,"P040061",275424,,,"Substituted metal complex (PROVISIONAL)","PMN","INACTIVE"
1568,"P040062",254536,,,"Modified metal complex (PROVISIONAL)","PMN","INACTIVE"
1569,"P040066",260549,,,"Polybutadiene acrylate (PROVISIONAL)","PMN; XU","ACTIVE"
1570,"P040069",254752,,,"Acid modified chlorinated polyolefin (PROVISIONAL)","PMN; XU","INACTIVE"
1571,"P040070",241577,"UID-2023-00151","20271205","Polyether fatty acid ester (PROVISIONAL)","PMN; XU","ACTIVE"
1572,"P040072",271206,"UID-2023-00152","20271205","Acidic polyester (PROVISIONAL)","PMN; XU","ACTIVE"
1573,"P040075",256907,,,"Modified aluminum alkoxide (PROVISIONAL)","PMN","INACTIVE"
1574,"P040085",268850,,,"Acrylic-acrylonitrile copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
1575,"P040086",272334,,,"C16-18 fatty acid product with polyethylene polyamine, phosphonomethylated (PROVISIONAL)","PMN","ACTIVE"
1576,"P040090",271795,,,"Triazine derivative (PROVISIONAL)","PMN","ACTIVE"
1577,"P040099",260334,,,"Disazo yellow dye (PROVISIONAL)","PMN","INACTIVE"
1578,"P040101",252007,,,"2,5-Furandione, dihydro-, alkyl derivs., reaction products with alkanolamine (PROVISIONAL)","PMN; XU","ACTIVE"
1579,"P040102",234823,,,"Aqueous ketone-aldehyde resin (PROVISIONAL)","PMN; XU","ACTIVE"
1580,"P040105",230285,,,"Alkylpolyhydroxy, polymer with (chloromethyl)oxirane, 4,4'-(1-methylethylidene)bis(phenol) and methyloxirane (PROVISIONAL)","PMN; XU","INACTIVE"
1581,"P040107",260301,,,"Substituted aminoethanesulfonic acid salt (PROVISIONAL)","PMN; S","ACTIVE"
1582,"P040109",252847,,,"Amine prepolymer (PROVISIONAL)","PMN","ACTIVE"
1583,"P040111",258005,,,"Polycarboxylated ether (PROVISIONAL)","PMN; XU","ACTIVE"
1584,"P040120",246334,,,"Isocyanate functional polyester polyether urethane polymer (PROVISIONAL)","PMN; XU","INACTIVE"
1585,"P040121",259337,,,"Polyurethane (PROVISIONAL)","PMN; XU","INACTIVE"
1586,"P040122",261382,,,"MDI/carbonate prepolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1587,"P040124",268554,,,"Polymethylene polyphenylene polyurea polymer (PROVISIONAL)","PMN; XU","INACTIVE"
1588,"P040132",236670,,,"Ethylhexyl oxetane (PROVISIONAL)","PMN; S; 5E","ACTIVE"
1589,"P040136",257251,,,"Polyetherimide (PROVISIONAL)","PMN; XU","ACTIVE"
1590,"P040138",266445,,,"Substituted acrylate polymer (PROVISIONAL)","PMN; XU","INACTIVE"
1591,"P040148",236590,,,"Olefin-maleic anhydride esterified polymer (PROVISIONAL)","PMN; XU","ACTIVE"
1592,"P040152",251479,"UID-2020-00072","20300203","Polyester acrylate (PROVISIONAL)","PMN; XU","ACTIVE"
1593,"P040154",239102,,,"2-Propenoic acid, 2-methyl-, polymers with 2-hydroxypropyl 2-propenoate, 2-propenenitrile, alkyl 2-methyl-2-propenoate and 1-propene, homopolymer,chlorinated (PROVISIONAL)","PMN; XU","INACTIVE"
1594,"P040156",245239,,,"Cobalt catalyst (PROVISIONAL)","PMN","INACTIVE"
1595,"P040160",254412,,,"Derivative of acrylic acid copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1596,"P040162",274909,,,"Salt of a copolymer of acrylic acid and acrylic acid derivatives (PROVISIONAL)","PMN; XU","INACTIVE"
1597,"P040163",242956,,,"Proprietary cycloaliphatic amine reaction products (PROVISIONAL)","PMN; 5E","ACTIVE"
1598,"P040167",246787,,,"Amides, from aliphatic and cycloaliphatic acids, polyamines, hydrochlorides (PROVISIONAL)","PMN","ACTIVE"
1599,"P040174",238427,,,"Fluoroacrylate modified urethane (PROVISIONAL)","PMN; SP; 5E","ACTIVE"
1600,"P040176",236181,,,"Fluorinated oligomer alcohol (PROVISIONAL)","PMN; SP; 5E","ACTIVE"
1601,"P040178",278285,,,"Polyester acrylate (PROVISIONAL)","PMN; XU","ACTIVE"
1602,"P040181",240165,,,"Phenolic resin (PROVISIONAL)","PMN; XU","INACTIVE"
1603,"P040185",232623,"UID-2020-00136","20301113","Sulfonated ketone resin (PROVISIONAL)","PMN","ACTIVE"
1604,"P040187",238529,,,"Polyglycolic acid copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
1605,"P040188",247859,,,"Heterocyclic substituted sulfonyloxybenzenecarboxamide (PROVISIONAL)","PMN","INACTIVE"
1606,"P040189",237366,"UID-2018-00096","20281012","Alkyl substituted acid chloride (PROVISIONAL)","PMN","ACTIVE"
1607,"P040190",269762,,,"Polyester acrylate (PROVISIONAL)","PMN; XU","ACTIVE"
1608,"P040197",260185,,,"Telechelic polyacrylates (PROVISIONAL)","PMN; XU","ACTIVE"
1609,"P040198",253395,,,"Telechelic polyacrylates (PROVISIONAL)","PMN; XU","ACTIVE"
1610,"P040202",248283,,,"Water based acrylic dispersion (PROVISIONAL)","PMN; XU","ACTIVE"
1611,"P040203",257808,,,"Alkanediols, polymer with carboxylic acid anhydrides, reacted with branched alcohol and carboxylic acid (PROVISIONAL)","PMN; XU","ACTIVE"
1612,"P040204",268565,,,"Olefin-based block copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1613,"P040213",279960,,,"Copolymer of perfluoroalkylethyl acrylate, polyalkylene glycol diacrylate and polyalkylene glycol monoacrylate","PMN; S; 5E","INACTIVE"
1614,"P040237",237128,,,"Alkanolamine carboxylate salt (PROVISIONAL)","PMN","INACTIVE"
1615,"P040238",236669,,,"Alkanolamine carboxylate salt (PROVISIONAL)","PMN","ACTIVE"
1616,"P040239",276472,,,"Alkanolamine carboxylate salt (PROVISIONAL)","PMN","INACTIVE"
1617,"P040240",279517,,,"Alkoxylated amine carboxylate salt (PROVISIONAL)","PMN","INACTIVE"
1618,"P040241",257342,,,"Alkanolamine carboxylate salt (PROVISIONAL)","PMN","INACTIVE"
1619,"P040245",252905,,,"Polycarboxylate polymer with alkenyloxyalkylol modified poly(oxyalkylenediyl), potassium sodium salt (PROVISIONAL)","PMN; XU","ACTIVE"
1620,"P040246",239931,,,"Polycarboxylate polymer with alkenyloxyalkylol modified poly(oxyalkylenediyl), potassium sodium salt (PROVISIONAL)","PMN; XU","ACTIVE"
1621,"P040254",230898,,,"Halophosphate mixed metal complex","PMN; S","INACTIVE"
1622,"P040256",241793,,,"Polybutadiene prepolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1623,"P040263",259757,,,"Polymer of cycloaliphatic polycarboxylic acid and aliphatic polyol (PROVISIONAL)","PMN; XU","ACTIVE"
1624,"P040265",237991,,,"Substituted alkyl diol polymer with substituted alkyloxime and substituted cycloalkane and unsaturated alcohols (PROVISIONAL)","PMN; XU","ACTIVE"
1625,"P040267",249026,,,"Aromatic polyether polyester polyurethane (PROVISIONAL)","PMN; XU","INACTIVE"
1626,"P040268",241260,,,"Aryl magnesium halide (PROVISIONAL)","PMN","INACTIVE"
1627,"P040281",243642,,,"Alkali carboxylate salt (PROVISIONAL)","PMN","INACTIVE"
1628,"P040282",247257,,,"Alkali carboxylate salt (PROVISIONAL)","PMN","INACTIVE"
1629,"P040288",231120,,,"Substituted aromatic azo isoindole (PROVISIONAL)","PMN","ACTIVE"
1630,"P040291",235780,,,"Isocyanate functional polyester urethane polymer (PROVISIONAL)","PMN; XU","INACTIVE"
1631,"P040294",274750,,,"Carbodiimide crosslinker, polycarbodiimide crosslinker (PROVISIONAL)","PMN; XU","INACTIVE"
1632,"P040314",251617,,,"Reaction product of polyethylene-polyamine-(C16-18)-alkylamides with monothio-(C2)-alkyl phosphonates (PROVISIONAL)","PMN","ACTIVE"
1633,"P040316",248227,,,"Polyisobutenylsuccinic acid, metal salt (PROVISIONAL)","PMN; XU","ACTIVE"
1634,"P040318",238303,"UID-2020-00045","20261006","1,2-Ethanediol reaction products with nonylphenol glycidyl ether (PROVISIONAL)","PMN; S","ACTIVE"
1635,"P040323",252665,,,".beta.-Ketoester, polymer with .beta.-diketone, poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-[(1-oxo-2-propenyl)oxy], ether with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (3:1), 2-propenoic acid, oxybis(methyl-2,1-ethanediyl) ester, alkylamine and Ebecryl 81 (PROVISIONAL)","PMN; XU","INACTIVE"
1636,"P040332",253851,,,"Epoxy functional styrenated methacrylate polymer (PROVISIONAL)","PMN; XU","INACTIVE"
1637,"P040334",246685,,,"Acrylic copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1638,"P040336",272776,,,"Oligocarbodiimide (PROVISIONAL)","PMN; XU","ACTIVE"
1639,"P040340",267266,,,"Polyoxyether salt (PROVISIONAL)","PMN; S","ACTIVE"
1640,"P040342",239613,,,"Polyurethane prepolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1641,"P040346",254978,,,"Copolymer of phenol and aromatic hydrocarbon","PMN; S; 5E","INACTIVE"
1642,"P040353",232601,,,"Azo nickel complex (PROVISIONAL)","PMN","INACTIVE"
1643,"P040357",236454,,,"Acrylic polymer (PROVISIONAL)","PMN; XU","INACTIVE"
1644,"P040366",279028,,,"Blocked isocyanate (PROVISIONAL)","PMN; XU","ACTIVE"
1645,"P040367",277635,"UID-2023-00144","20271205","Fatty acid ester amine compound (PROVISIONAL)","PMN; XU","ACTIVE"
1646,"P040380",236396,,,"Trimethylolpropane polyol (PROVISIONAL)","PMN; XU","ACTIVE"
1647,"P040383",252063,,,"Hydroxyalkyl carboxylic acid, polymer with alkylamine, alkanediol, alkyldiisocyanate and polyalkyl ether, polyalkylene glycol ether-blocked, compds. with alkylamine (PROVISIONAL)","PMN; XU","ACTIVE"
1648,"P040390",231175,,,"Sulphonated azo dye (PROVISIONAL)","PMN","ACTIVE"
1649,"P040391",254672,,,"Alkanediol, polymer with alkanedioic anhydride (PROVISIONAL)","PMN; XU","ACTIVE"
1650,"P040392",248443,,,"Aliphatic N-substituted carboxylic acid amide, hydrochloride (PROVISIONAL)","PMN","ACTIVE"
1651,"P040393",254149,"UID-2023-00097","20300928","Styrene acrylic copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1652,"P040398",272947,,,"MDI based polyurethane polymer (PROVISIONAL)","PMN; XU","ACTIVE"
1653,"P040401",231700,,,"Styrene-butadiene copolymer latex (PROVISIONAL)","PMN; XU","INACTIVE"
1654,"P040402",234970,"UID-2018-00192","20280206","Blocked isocyanate terminated urethane prepolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1655,"P040403",243766,"UID-2016-00306","20260927","Amide-borate complex (PROVISIONAL)","PMN","ACTIVE"
1656,"P040416",247086,,,"Aromatic urethane diacrylate polymer (PROVISIONAL)","PMN; XU","INACTIVE"
1657,"P040417",258174,,,"Polyfluoralkyl ether","PMN; S","ACTIVE"
1658,"P040418",271944,,,"Polysiloxane (PROVISIONAL)","PMN; XU","ACTIVE"
1659,"P040420",238745,,,"Polysiloxane (PROVISIONAL)","PMN; XU","ACTIVE"
1660,"P040421",250512,,,"Polyester polycarbamate (PROVISIONAL)","PMN; XU","INACTIVE"
1661,"P040427",262761,,,"Hydroxyl terminated aromatic ester (PROVISIONAL)","PMN; XU","INACTIVE"
1662,"P040433",245206,,,"Polycarboxylate polymer modified with alkylpoly(oxyalkylenediyl), calcium salt (PROVISIONAL)","PMN; XU","ACTIVE"
1663,"P040434",273995,,,"Halo sulfonyl substituted alkane (PROVISIONAL)","PMN","INACTIVE"
1664,"P040436",269740,,,"Urethane acrylate (PROVISIONAL)","PMN; XU","ACTIVE"
1665,"P040437",242503,,,"Acrylate copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
1666,"P040441",238109,,,"Bisphenol A type epoxy resin salt (PROVISIONAL)","PMN; XU","ACTIVE"
1667,"P040442",258527,,,"Reaction product of 4,4'-(1-methylethylidene)bisphenol, polymer with (chloromethyl)oxirane; polyethylene glycol; ethyleneamine; cresyl glycidyl ether (PROVISIONAL)","PMN; XU","ACTIVE"
1668,"P040445",268270,"UID-2020-00060","20301202","Aliphatic aromatic sulfonic acid compds. with alkyl amine (PROVISIONAL)","PMN","ACTIVE"
1669,"P040448",240892,,,"Aliphatic aromatic sulfonic acid compds. with alkyl amine (PROVISIONAL)","PMN","INACTIVE"
1670,"P040451",265044,,,"Copolymer of 1-vinylimidazole and 1-vinyl-2-pyrrolidone, modified (PROVISIONAL)","PMN; XU","ACTIVE"
1671,"P040452",263537,,,"Benzoic acid, 2-[3-oxo-6-(phenylmethoxy)-2,7-dipropyl-3H-heteropolycycle-9-yl]-, phenylmethyl ester (PROVISIONAL)","PMN","INACTIVE"
1672,"P040453",247940,,,"Spiro[isobenzofuran-1(3H),9'-[9H]heteropolycycle]-3-one, 3',6'-dihydroxy-2',7'-dipropyl- (PROVISIONAL)","PMN","INACTIVE"
1673,"P040454",243426,,,"Spiro[isobenzofuran-1(3H),9'-[9H]heteropolycycle]-3-one, 3'-hydroxy-6'-(phenylmethoxy)-2',7'-dipropyl- (PROVISIONAL)","PMN","ACTIVE"
1674,"P040455",237220,,,"4-Propyl-1,3-disubstitutedbenzene (PROVISIONAL)","PMN","INACTIVE"
1675,"P040457",230581,"UID-2019-00152","20290507","Alkyl methacrylate copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1676,"P040458",272447,,,"Salt of phosphoric acid esters with modified amines (PROVISIONAL)","PMN; XU","ACTIVE"
1677,"P040462",274454,,,"Polyurethane prepolymer (PROVISIONAL)","PMN; XU","INACTIVE"
1678,"P040466",250523,,,"Acrylic solution polymer (PROVISIONAL)","PMN; XU","INACTIVE"
1679,"P040467",233626,,,"Alkanedioic acid, polymer with amino-alkanes (PROVISIONAL)","PMN; XU","ACTIVE"
1680,"P040468",263231,,,"Salt of polyphosphoric acid esters with modified amines and an acrylate (PROVISIONAL)","PMN; XU","ACTIVE"
1681,"P040470",99980,,,"Acrylate polyester (PROVISIONAL)","PMN; XU","ACTIVE"
1682,"P040471",252427,,,"Modified polyester resin (PROVISIONAL)","PMN; XU","INACTIVE"
1683,"P040475",251355,"UID-2019-00143","20290530","Alkyl methacrylate copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
1684,"P040479",279722,,,"Mixture containing alcohols, aminoalcohols and their sodium salts","PMN; S","ACTIVE"
1685,"P040482",230650,,,"Alkanediol/alkane oxime/alkane amine blocked cyclo aliphatic isocyanate, compds. with aliphatic acid (PROVISIONAL)","PMN; XU","ACTIVE"
1686,"P040483",248943,,,"Functionalized poly(meth)acrylic acid (PROVISIONAL)","PMN; XU","ACTIVE"
1687,"P040483",201435,,,"Functionalized poly(meth)acrylic acid (PROVISIONAL)","PMN; XU","ACTIVE"
1688,"P040484",234732,,,"Rosin modified phenolic resin (PROVISIONAL)","PMN; XU","ACTIVE"
1689,"P040488",244816,,,"Acrylic polymer (PROVISIONAL)","PMN; XU","ACTIVE"
1690,"P040495",259213,,,"Naphthalenedisulfonic acid, [amino-hydroxy-[(substituted)azo-sulfo-naphthaleneyl]azo]-hydroxy-[(methoxysulfophenyl)azo], metal salt","PMN; S","ACTIVE"
1691,"P040496",251048,,,"Substituted phthalocyanine dye (PROVISIONAL)","PMN","ACTIVE"
1692,"P040498",260276,,,"Naphthalenedisulfonic acid, hydroxy-[[[(hydroxydisulfonaphthaleneyl)azo]-alkyl(C=1-5)-(sulfoalkoxy)cyclic]azo]- substituted azo-, metal salt","PMN; S","ACTIVE"
1693,"P040499",279471,,,"Substituted stilbene sulfonic acid (PROVISIONAL)","PMN","ACTIVE"
1694,"P040507",234414,,,"Substituted anthraquinone derivative (PROVISIONAL)","PMN","ACTIVE"
1695,"P040512",259859,,,"Polyurethane resin (PROVISIONAL)","PMN; XU","ACTIVE"
1696,"P040514",268645,,,"Polybutadiene acrylate (PROVISIONAL)","PMN; XU","ACTIVE"
1697,"P040515",232634,,,"Urethane acrylic hybrid polymer (PROVISIONAL)","PMN; XU","INACTIVE"
1698,"P040518",233897,,,"Substituted benzenesulfonic acid substituted pyrazol azo phenyl amino triazin amino substituted phenyl compound (PROVISIONAL)","PMN","ACTIVE"
1699,"P040523",253500,,,"Condensation polymer of anhydride, polyol and terminating agent (PROVISIONAL)","PMN; XU","ACTIVE"
1700,"P040533",247393,,,"Modified acrylic polymer (PROVISIONAL)","PMN; XU","INACTIVE"
1701,"P040537",264949,"UID-2021-00037","20310208","Fluorochemical ester (PROVISIONAL)","PMN; SP; 5E","ACTIVE"
1702,"P040538",244861,,,"Substituted xanthene (PROVISIONAL)","PMN","ACTIVE"
1703,"P040539",274432,,,"Urethane acrylate (PROVISIONAL)","PMN; XU","INACTIVE"
1704,"P040542",254990,,,"Formaldehyde polymers with phenol, long chain alkylphenol and resorcinol (PROVISIONAL)","PMN; XU","ACTIVE"
1705,"P040544",236874,,,"Methacrylic polymer (PROVISIONAL)","PMN; XU","ACTIVE"
1706,"P040546",278150,,,"Polyurethane prepolymer (PROVISIONAL)","PMN; XU","INACTIVE"
1707,"P040547",274589,,,"Thioether epoxy","PMN; S","ACTIVE"
1708,"P040548",259417,"UID-2020-00105","20310623","Pentaerythritol, mixed C7-C8 esters (PROVISIONAL)","PMN","ACTIVE"
1709,"P040549",246594,,,"Poly(methacrylic acid) salt (PROVISIONAL)","PMN; XU","ACTIVE"
1710,"P040550",246027,,,"Polyglycolether-polycarboxylate (PROVISIONAL)","PMN; XU","ACTIVE"
1711,"P040552",269273,,,"Spiro[isobenzofuran-1(3H),9'-[9H]heteropolycycle]-3-one, 3'-chloro-6'-(2,3-dihydro-1H-indol-1yl)-4,5,6,7-tetrafluoro- (PROVISIONAL)","PMN","INACTIVE"
1712,"P040553",253759,,,"Spiro[isobenzofuran-1(3H),9'-[9H]heteropolycycle]-3-one, 3'-(2,3-dihydro-1H-indol-1yl)-4,5,6,7-tetrafluoro-6'-[(4-methoxy-2-methylphenyl)amino]- (PROVISIONAL)","PMN","ACTIVE"
1713,"P040554",251764,,,"Spiro[isobenzofuran-1(3H),9'-[9H]heteropolycycle]-3-one, 3',6'-dichloro-4,5,6,7-tetrafluoro- (PROVISIONAL)","PMN","INACTIVE"
1714,"P040555",262603,,,"Spiro[isobenzofuran-1(3H),9'-[9H]heteropolycycle]-3-one, 4,5,6,7-tetrafluoro-3',6'-dihydroxy- (PROVISIONAL)","PMN","INACTIVE"
1715,"P040557",255299,,,"1,3-Heteropolycycledione-4,5,6,7-tetrafluoro- (PROVISIONAL)","PMN","INACTIVE"
1716,"P040558",231595,,,"Amine neutralized alkyd resin (PROVISIONAL)","PMN; XU","ACTIVE"
1717,"P040559",203317,,,"Polyacrylate (PROVISIONAL)","PMN; XU","ACTIVE"
1718,"P040562",260163,,,"Ester derivative of amino acid (PROVISIONAL)","PMN","INACTIVE"
1719,"P040565",256349,"UID-2016-00069","20260914","Substituted pyridinedicarboxylate (PROVISIONAL)","PMN","ACTIVE"
1720,"P040565",277908,"UID-2016-00071","20260914","Substituted pyridinedicarboxylate (PROVISIONAL)","PMN","ACTIVE"
1721,"P040565",261713,"UID-2016-00070","20260914","Substituted pyridinedicarboxylate (PROVISIONAL)","PMN","ACTIVE"
1722,"P040566",241395,,,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-hydro-.omega.-hydroxy-, polymer with isocyanate, 2-hydroxyethyl methacrylate-blocked (PROVISIONAL)","PMN; XU","ACTIVE"
1723,"P040568",249388,,,"Polymeric modified vegetable oil (PROVISIONAL)","PMN; XU","INACTIVE"
1724,"P040583",232258,,,"Polyhydroxyaminoether salt","PMN; S","ACTIVE"
1725,"P040584",261699,,,"Maleic anhydride and acrylics modified polyolefin (PROVISIONAL)","PMN; XU","INACTIVE"
1726,"P040586",261860,,,"MDI based polyurethane polymer (PROVISIONAL)","PMN; XU","ACTIVE"
1727,"P040588",276892,,,"Modified polyacrylate (PROVISIONAL)","PMN; XU","ACTIVE"
1728,"P040590",261133,,,"Fatty acids, polymers with polyurethane, alkyl acrylates, alkyl methacrylates, diols, vinyl monomer, amine salted (PROVISIONAL)","PMN; XU","ACTIVE"
1729,"P040591",268463,,,"Alkyl sustituted amino-benzamide (PROVISIONAL)","PMN; S","INACTIVE"
1730,"P040592",263468,"UID-2023-00090","20280209","Polyurea compound (PROVISIONAL)","PMN; XU","ACTIVE"
1731,"P040596",249560,"UID-2023-00193","20280130","Alkoxyphenol (PROVISIONAL)","PMN","ACTIVE"
1732,"P040628",231164,,,"Spiro[isobenzofuran-1(3H),9'-[9H]heteropolycycle]-3-one, 3'-[(2-methylphenyl)amino]-6'-[(2-methylphenyl)octylamino]- (PROVISIONAL)","PMN","INACTIVE"
1733,"P040629",234505,,,"Spiro[isobenzofuran-1(3H),9'-[9H]heteropolycycle]-3-one, 3',6'-bis[(2-methylphenyl)amino]- (PROVISIONAL)","PMN","INACTIVE"
1734,"P040631",267277,,,"Fatty acid polyester amide (PROVISIONAL)","PMN; XU","ACTIVE"
1735,"P040632",245422,,,"Bis substituted benzenesulfonic acid amino substituted triazin amino substituted phenyl azo compound (PROVISIONAL)","PMN","INACTIVE"
1736,"P040633",231482,,,"Poly(oxyethylene)alkenyl ether (PROVISIONAL)","PMN; XU","ACTIVE"
1737,"P040636",250465,,,"Cuprate, [[[[[[[(sulfonaphthalenyl)]azo]-(substitutedphenyl)]azo]-(substitutedsulfonaphthalenyl)]azo]-substitutedphenyl-substituted heteromonocycle], sodium salts (PROVISIONAL)","PMN; S","INACTIVE"
1738,"P040640",278616,,,"Diisocyanate terminated polycarbodiimide","PMN; S; 5E","ACTIVE"
1739,"P040644",267380,,,"Polyurethane acrylic ester (PROVISIONAL)","PMN; XU","ACTIVE"
1740,"P040645",266069,,,"Amine functional epoxy resin salted with organic acid (PROVISIONAL)","PMN; XU","INACTIVE"
1741,"P040648",240972,,,"Hydroxy functional organic acid compds. with aromatic epoxy polymer, reaction products with primary and secondary amines (PROVISIONAL)","PMN; XU","INACTIVE"
1742,"P040653",270645,,,"Styrene-butadiene copolymer latex (PROVISIONAL)","PMN; XU","INACTIVE"
1743,"P040659",258403,,,"N-Sulfoalkyl-aminocarbonylalkenyl, polymer modified with N,N-dialkyl-aminocarbonylalkenyl, calcium salt (PROVISIONAL)","PMN; XU","ACTIVE"
1744,"P040660",261735,,,"N-Sulfoalkyl-aminocarbonylalkenyl, polymer with alkenyloxyalkylol modified with poly(alkyloxyalkylenediyl) and poly(oxyalkylenediyl) and aminocarbonylalkenyl, sodium salt (PROVISIONAL)","PMN; XU","ACTIVE"
